,id,name,latitude,longitude
137,385,Woolsey St at Sacramento St,37.8505777,-122.2781754
138,90,Townsend St at 7th St,37.771058000000004,-122.402717
139,112,Harrison St at 17th St,37.7638471,-122.41300359999998
140,160,West Oakland BART Station,37.805318299999996,-122.2948365
141,4,Cyril Magnin St at Ellis St,37.78588062694133,-122.4089150084319
142,247,Fulton St at Bancroft Way,37.867789200000004,-122.26589640000002
143,97,14th St at Mission St,37.7682646,-122.4201102
145,308,San Pedro Square,37.336802,-121.89409009999999
149,75,Market St at Franklin St,37.773793206088705,-122.42123901844023
151,123,Folsom St at 19th St,37.7605936,-122.41481709999998
152,172,College Ave at Taft Ave,37.8417999,-122.25153490000001
153,114,Rhode Island St at 17th St,37.7644783,-122.40257009999999
159,244,Shattuck Ave at Hearst Ave,37.87367621459825,-122.26848721504213
161,8,The Embarcadero at Vallejo St,37.799953,-122.398525
164,23,The Embarcadero at Steuart St,37.791464000000005,-122.391034
165,55,Webster St at Grove St,37.7770527,-122.4295585
169,31,Raymond Kimbell Playground,37.783812709278116,-122.4345588684082
170,62,Victoria Manalo Draves Park,37.77779057034257,-122.40643188357352
171,125,20th St at Bryant St,37.7592005,-122.409851
173,49,S Park St at 3rd St,37.7807601,-122.39498940000001
174,194,Lakeshore Ave at Trestle Glen Rd,37.811080700000005,-122.24326770000002
175,263,Channing Way at San Pablo Ave,37.862827100000004,-122.29023049999999
177,120,Mission Dolores Park,37.7614205,-122.4264353
179,371,Lombard St at Columbus Ave,37.80274615250053,-122.41357862949371
180,107,17th St at Dolores St,37.7630152,-122.42649679999998
181,144,Precita Park,37.747299600000005,-122.41140290000001
182,70,Central Ave at Fell St,37.77331087889723,-122.44429260492323
183,47,4th St at Harrison St,37.78095459960753,-122.39974915981293
186,148,Horton St at 40th St,37.82970460000001,-122.28761019999999
192,383,Golden Gate Ave at Franklin St,37.780787126746205,-122.42193371057509
194,17,Embarcadero BART Station (Beale St at Market St),37.792251,-122.39708600000002
195,281,9th St at San Fernando St,37.33839520000001,-121.8807965
197,66,3rd St at Townsend St,37.77874161153677,-122.39274082710837
